,Unnamed: 0,Unnamed: 0.1,contract_count_10,contract_count_11,contract_count_14,contract_count_15,contract_count_20,contract_count_21,contract_count_24,contract_count_25,contract_count_30,contract_count_31,contract_face_10,contract_face_11,contract_face_14,contract_face_15,contract_face_20,contract_face_21,contract_face_24,contract_face_25,contract_face_30,contract_face_31,date,stock_snm_x,zanzon,bid,offer,rate,remaining_years_from,remaining_years_to,simple_yield_1days_from_ope,simple_yield_2days_from_ope,simple_yield_fluctuation_2to1,simple_yield_fluctuation_3to2,amount_sum,bid_price,balance,stock_snm_x.1,aggre_rate_buy,aggre_rate_sell,fluctuation_buy_rate,fluctuation_sell_rate
348,1687,1699,7,0,0,0,15,5,0,0,0,0,-3200000000,0,0,0,-6800000000,10000000000,0,0,0,0,7,39,4.597260274,3004,8789,0.003,3,5,-0.125,-0.125,0.0,-0.001,24319,19991,6262,39,-0.095,0.0091544243,0,0
387,1901,1913,3,5,1,0,1,16,0,0,0,0,90900000000,23000000000,-111400000000,0,-2500000000,0,0,0,0,0,13,144,5.8246575342,4506,10921,0.006,5,10,-0.09,-0.094,0.004,-0.009000000000000001,77230,65559,35956,144,-0.0119394613,0.006560430900000001,0,0
363,1753,1765,2,4,0,0,10,9,0,0,0,0,7800000000,-28600000000,0,0,-5200000000,26000000000,0,0,0,0,1,264,4.0821917808,3005,10497,0.003,3,5,-0.125,-0.13,0.005,0.005,76511,65592,60885,264,-0.08007576400000001,0.008329911700000001,1,0
332,1641,1653,3,1,0,0,24,23,0,0,0,0,700000000,12900000000,0,0,0,-14000000000,0,0,0,0,15,89,3.8054794521,3004,9144,0.006,3,5,-0.129,-0.13,0.001,-0.005,48512,40040,13328,89,-0.07790349419999999,0.0095504496,1,0
145,701,707,4,0,0,1,3,2,1,0,0,0,4500000000,0,0,-3500000000,1500000000,-3500000000,1000000000,0,0,0,3,117,15.7945205479,2017,5475,-0.006999999999999999,10,25,0.315,0.32,-0.005,-0.005,25303,21894,8680,117,-0.08,0.0098913306,0,0
50,269,273,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,105,15.504109589,2006,4580,-0.01,10,25,0.305,0.3,0.005,-0.005,2997,2997,603,105,-0.11,0.01,2,0
165,771,777,3,3,0,0,7,3,0,0,0,0,-36100000000,36800000000,0,0,-900000000,200000000,0,0,0,0,2,79,17.580821917799998,2006,4580,-0.01,10,25,0.431,0.425,0.006,-0.005,39555,32982,19568,79,-0.0944777427,0.01,2,0
71,413,418,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,123,12.295890410999998,2017,5475,-0.006999999999999999,10,25,0.135,0.14,-0.005,-0.005,34573,30244,15584,123,-0.085,0.0095022782,1,0
209,997,1006,2,0,0,0,2,1,0,0,0,0,5000000000,0,0,0,-4000000000,-1000000000,0,0,0,0,3,236,27.556164383600002,1003,2379,-0.004,25,-1,0.705,0.715,-0.01,-0.005,22809,18373,14100,236,-0.01,0.0081974249,2,0
230,1050,1059,2,0,0,0,21,13,2,0,0,0,-7500000000,0,0,0,-6000000000,13500000000,0,0,0,0,9,268,29.1260273973,1002,3108,0.009000000000000001,25,-1,0.86,0.86,0.0,0.015,25189,21809,12767,268,-0.1047368421,0.0097895419,1,0
