,Unnamed: 0,contract_count_10,contract_count_11,contract_count_14,contract_count_15,contract_count_20,contract_count_21,contract_count_24,contract_count_25,contract_count_30,contract_count_31,contract_face_10,contract_face_11,contract_face_14,contract_face_15,contract_face_20,contract_face_21,contract_face_24,contract_face_25,contract_face_30,contract_face_31,date,stock_snm_x,zanzon,bid,offer,rate,remaining_years_from,remaining_years_to,simple_yield_1days_from_ope,simple_yield_2days_from_ope,simple_yield_fluctuation_2to1,simple_yield_fluctuation_3to2,amount_sum,bid_price,balance,stock_snm_x.1,aggre_rate_buy,aggre_rate_sell,fluctuation_buy_rate,fluctuation_sell_rate
700,706,5,0,0,2,5,4,2,0,0,0,5500000000,0,0,-700000000,-1300000000,-3500000000,0,0,0,0,2017-06-07,SL-143,15.797260274000001,2017,5475,-0.006999999999999999,10,25,0.315,0.32,-0.005,-0.005,25303,21894,8680,SL-143,-0.08,0.009891330600000001,up,up
701,707,5,0,0,2,5,4,2,0,0,0,5500000000,0,0,-700000000,-1300000000,-3500000000,0,0,0,0,2017-06-07,SL-143,15.797260274000001,2017,5475,-0.006999999999999999,10,25,0.315,0.32,-0.005,-0.005,25303,21894,8680,SL-143,-0.08,0.009891330600000001,up,up
704,710,2,2,0,0,0,0,0,0,0,0,6800000000,-6800000000,0,0,0,0,0,0,0,0,2017-05-19,SL-144,15.8493150685,2011,6069,0.001,10,25,0.34,0.345,-0.005,0.005,13305,10977,2513,SL-144,-0.0608854028,0.009958033,up,up
705,711,2,1,0,0,1,5,5,0,0,0,-7800000000,7700000000,0,0,500000000,-400000000,0,0,0,0,2017-05-12,SL-144,15.868493150699999,2013,3930,0.003,10,25,0.345,0.34,0.005,0.01,13305,10977,2513,SL-144,-0.09,0.01,up,up
710,716,9,0,0,0,1,4,2,0,0,0,8200000000,0,0,0,500000000,-5500000000,-3200000000,0,0,0,2017-06-07,SL-144,15.797260274000001,2017,5475,-0.006999999999999999,10,25,0.32,0.325,-0.005,-0.005,13305,10977,2513,SL-144,-0.065,0.01,up,up
711,717,9,0,0,0,1,4,2,0,0,0,8200000000,0,0,0,500000000,-5500000000,-3200000000,0,0,0,2017-06-07,SL-144,15.797260274000001,2017,5475,-0.006999999999999999,10,25,0.32,0.325,-0.005,-0.005,13305,10977,2513,SL-144,-0.065,0.01,up,up
713,719,7,3,0,0,7,3,0,0,0,0,-6600000000,600000000,0,0,0,6000000000,0,0,0,0,2017-05-26,SL-145,16.0821917808,2006,4580,-0.01,10,25,0.335,0.33,0.005,-0.005,39442,32896,15920,SL-145,-0.08375,0.0098584572,up,up
714,720,9,1,0,0,0,0,0,0,0,0,-3500000000,3500000000,0,0,0,0,0,0,0,0,2017-05-19,SL-145,16.101369863,2011,6069,0.001,10,25,0.35,0.355,-0.005,0.005,39442,32896,15920,SL-145,-0.0752631579,0.0097313924,up,up
722,728,10,3,0,0,3,1,0,0,0,0,-900000000,800000000,0,0,-400000000,500000000,0,0,0,0,2017-05-26,SL-146,16.3342465753,2006,4580,-0.01,10,25,0.35,0.345,0.005,-0.005,37907,32823,17231,SL-146,-0.0573960217,0.009975521800000001,up,up
724,730,2,4,0,0,1,1,0,0,0,0,-19900000000,19900000000,0,0,-2500000000,2500000000,0,0,0,0,2017-05-12,SL-146,16.3726027397,2013,3930,0.003,10,25,0.37,0.365,0.005,0.01,37907,32823,17231,SL-146,-0.09018050539999999,-0.07501629509999999,up,down
