,Unnamed: 0,contract_count_10,contract_count_11,contract_count_14,contract_count_15,contract_count_20,contract_count_21,contract_count_24,contract_count_25,contract_count_30,contract_count_31,contract_face_10,contract_face_11,contract_face_14,contract_face_15,contract_face_20,contract_face_21,contract_face_24,contract_face_25,contract_face_30,contract_face_31,date,stock_snm_x,zanzon,bid,offer,rate,remaining_years_from,remaining_years_to,simple_yield_1days_from_ope,simple_yield_2days_from_ope,simple_yield_fluctuation_2to1,simple_yield_fluctuation_3to2,amount_sum,bid_price,balance,stock_snm_x.1,aggre_rate_buy,aggre_rate_sell,fluctuation_buy_rate,fluctuation_sell_rate
1381,1393,37,2,1,0,14,5,0,0,0,0,186900000000,-2000000000,-139900000000,0,-48000000000,3000000000,0,0,0,0,2017-05-22,303,2.3397260274,2812,10810,-0.001,1,3,-0.145,-0.15,0.005,0.01,45859,38370,11537,303,-0.0583588621,0.0058736426,down,up
1387,1399,2,0,0,0,10,12,0,0,0,0,3500000000,0,0,0,0,-3500000000,0,0,0,0,2017-06-09,303,2.2849315068,2801,4911,-0.008,1,3,-0.11900000000000001,-0.14,0.021,0.004,45859,38370,11537,303,-0.0133522727,0.0023149905,up,up
1396,1408,2,2,0,0,2,0,0,0,0,0,7500000000,-7500000000,0,0,0,0,0,0,0,0,2017-06-09,304,2.2849315068,2801,4911,-0.008,1,3,-0.11900000000000001,-0.14,0.021,0.004,23478,19153,8030,304,0.0,0.0094684714,up,up
1398,1410,2,0,0,0,12,3,0,0,0,0,-10700000000,0,0,0,5700000000,5000000000,0,0,0,0,2017-05-24,305,2.5780821918,2805,12807,0.009000000000000001,1,3,-0.149,-0.145,-0.004,-0.005,70770,60084,25883,305,-0.025865992400000003,0.0022964072,up,up
1399,1411,8,0,0,0,10,2,0,0,0,0,500000000,0,0,0,0,-500000000,0,0,0,0,2017-05-22,305,2.5890410959,2812,10810,-0.001,1,3,-0.14,-0.145,0.005,0.01,70770,60084,25883,305,-0.095,0.0065895903,down,up
1400,1412,13,0,0,0,15,6,0,0,0,0,-18400000000,0,0,0,-1200000000,19600000000,0,0,0,0,2017-05-17,305,2.597260274,2804,11013,0.006999999999999999,1,3,-0.16,-0.16,0.0,0.0,70770,60084,25883,305,-0.1,0.0081161112,stay,up
1405,1417,2,2,2,0,2,0,0,0,0,0,0,-5000000000,5000000000,0,0,0,0,0,0,0,2017-06-09,305,2.5342465753,2801,4911,-0.008,1,3,-0.115,-0.135,0.02,0.004,70770,60084,25883,305,0.0,0.01,up,up
1409,1421,10,3,0,0,9,0,2,0,0,0,35500000000,-22100000000,0,0,-13400000000,0,0,0,0,0,2017-05-17,306,2.8465753425,2804,11013,0.006999999999999999,1,3,-0.15,-0.154,0.004,-0.001,46867,40112,20328,306,-0.0532692308,0.01,up,up
1414,1426,2,0,0,0,1,0,0,0,0,0,-5000000000,0,0,0,5000000000,0,0,0,0,0,2017-06-09,306,2.7835616438,2801,4911,-0.008,1,3,-0.111,-0.13,0.019,0.004,46867,40112,20328,306,-0.02,0.007449101800000001,up,up
1415,1427,2,5,0,0,2,0,1,0,0,0,-9100000000,9000000000,0,0,0,0,100000000,0,0,0,2017-05-31,306,2.8082191781,2801,8916,0.006,1,3,-0.14400000000000002,-0.14400000000000002,0.0,-0.005,46867,40112,20328,306,-0.03,0.0055526706,up,up
