,contract_count_10,contract_count_11,contract_count_14,contract_count_15,contract_count_20,contract_count_21,contract_count_24,contract_count_25,contract_count_30,contract_count_31,contract_face_10,contract_face_11,contract_face_14,contract_face_15,contract_face_20,contract_face_21,contract_face_24,contract_face_25,contract_face_30,contract_face_31,date,stock_snm_x,zanzon,bid,offer,rate,remaining_years_from,remaining_years_to,simple_yield_1days_from_ope,simple_yield_2days_from_ope,simple_yield_fluctuation_2to1,simple_yield_fluctuation_3to2,amount_sum,bid_price,balance,stock_snm_x.1,aggre_rate_buy,aggre_rate_sell,fluctuation_buy_rate,fluctuation_sell_rate
1202,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-2000000000,0,0,0,0,3,96,4.994520548,3004,9967,0.002,3,5,-0.07,-0.075,0.005,0,49270,41867,8693,96,-0.076076865,-0.111153199,0,1
1203,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,-14700000000,0,0,0,0,7,96,5,3004,11719,0.003,3,5,-0.075,-0.074,-0.001,0,49270,41867,8693,96,-0.059076878,-0.111153199,0,1
1205,32,2,0,0,7,16,0,0,0,0,11200000000,-12000000000,0,0,0,800000000,0,0,0,0,0,96,5.038356164,4505,10517,-0.006,5,10,-0.1,-0.101,0.001,0.004,49270,41867,15003,96,-0.068102485,-0.066513975,0,0
1208,1,0,0,0,0,12,0,0,0,0,25000000000,0,0,0,0,-70000000000,0,0,0,0,2,256,5.238356164,4503,17126,0,5,10,-0.065,-0.065,0,0.001,70511,63003,35956,256,-0.045344871,-0.11450559,0,0
1211,6,0,0,0,9,4,0,0,0,0,10000000000,0,0,0,-22500000000,12500000000,0,0,0,0,0,256,5.290410959,4505,10517,-0.006,5,10,-0.095,-0.096,0.001,0.004,70511,63003,16152,256,-0.042600085,-0.112261771,0,0
1212,5,1,0,1,6,11,0,0,0,0,2800000000,-10000000000,0,-1500000000,-1300000000,10000000000,0,0,0,0,6,59,5.616438356,4514,12857,0.002,5,10,-0.125,-0.135,0.01,0.005,26334,21050,5324,59,-0.0200364,-0.122816016,0,0
1213,0,1,0,0,0,0,0,0,0,0,0,-800000000,0,0,0,0,0,0,0,0,4,59,5.476712329,4512,16888,0.014,5,10,-0.075,-0.079,0.004,-0.013,26334,21050,35956,59,-0.119433962,-0.11695946,0,1
1214,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-300000000,0,0,0,0,2,59,5.487671233,4503,17126,0,5,10,-0.06,-0.06,0,0.001,26334,21050,40396,59,-0.066,-0.11695946,0,1
1215,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-2800000000,0,0,0,0,7,59,5.501369863,4508,17045,-0.001,5,10,-0.065,-0.065,0,0.001,26334,21050,40396,59,-0.02620506,-0.12397343,0,1
1219,2,1,0,0,0,8,1,0,0,0,-16200000000,9900000000,0,0,0,6600000000,-300000000,0,0,0,6,91,5.616438356,4514,12857,0.002,5,10,-0.125,-0.135,0.01,0.005,52050,42739,8640,91,-0.031846999,-0.089621724,0,2
1220,3,1,0,0,0,0,0,0,0,0,85000000000,-2500000000,0,0,0,0,0,0,0,0,4,91,5.476712329,4512,16888,0.014,5,10,-0.075,-0.079,0.004,-0.013,52050,42739,40396,91,-0.104482759,-0.130625,0,0
1221,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,-1.025E+11,0,0,0,0,2,91,5.487671233,4503,17126,0,5,10,-0.06,-0.06,0,0.001,52050,42739,36259,91,-0.044326203,-0.109868421,0,1
1222,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-900000000,0,0,0,0,7,91,5.501369863,4508,17045,-0.001,5,10,-0.065,-0.065,0,0.001,52050,42739,36259,91,-0.023762755,-0.109868421,0,1
1227,2,0,0,0,0,5,0,0,0,0,35000000000,0,0,0,0,-23500000000,0,0,0,0,2,58,5.734246575,4503,17126,0,5,10,-0.059,-0.055,-0.004,0.001,77230,65559,20317,58,-0.023596588,-0.125066208,0,0
1228,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,-21000000000,0,0,0,0,7,58,5.747945206,4508,17045,-0.001,5,10,-0.06,-0.06,0,0.001,77230,65559,20317,58,-0.021335234,-0.124579014,0,1
1233,0,0,0,0,1,53,0,0,0,0,0,0,0,0,5000000000,-2.673E+11,0,0,0,0,2,198,5.98630137,4503,17126,0,5,10,-0.055,-0.055,0,0,77737,65543,41896,198,-0.061410256,-0.122130674,0,0
1234,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,-75000000000,0,0,0,0,7,198,6,4508,17045,-0.001,5,10,-0.055,-0.055,0,0.001,77737,65543,41896,198,-0.024889819,-0.121714582,0,1
1236,12,0,0,0,28,35,4,0,0,0,-1900000000,0,0,0,200000000,1700000000,0,0,0,0,0,198,6.038356164,4505,10517,-0.006,5,10,-0.09,-0.09,0,0,77737,65543,40396,198,-0.023017473,-0.109630376,0,0
1237,12,0,0,0,28,35,4,0,0,0,-1900000000,0,0,0,200000000,1700000000,0,0,0,0,0,198,6.038356164,4505,10517,-0.006,5,10,-0.09,-0.09,0,0,77737,65543,40396,198,-0.023017473,-0.109630376,0,0
1238,56,2,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,183,6.367123288,4514,12857,0.002,5,10,-0.11,-0.12,0.01,0.005,54684,43562,36257,183,-0.018099778,-0.070171592,0,2
1240,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,-20300000000,0,0,0,0,2,183,6.238356164,4503,17126,0,5,10,-0.05,-0.05,0,0.001,54684,43562,56913,183,-0.028899848,-0.121539301,0,1
1243,10,1,0,0,21,9,6,0,0,0,-21900000000,4000000000,0,0,20800000000,-2900000000,0,0,0,0,0,183,6.290410959,4505,10517,-0.006,5,10,-0.085,-0.085,0,0,54684,43562,36257,183,-0.021553745,-0.099192396,0,2
1244,10,1,0,0,21,9,6,0,0,0,-21900000000,4000000000,0,0,20800000000,-2900000000,0,0,0,0,0,183,6.290410959,4505,10517,-0.006,5,10,-0.085,-0.085,0,0,54684,43562,36257,183,-0.021553745,-0.099192396,0,2
1253,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,-1.611E+11,0,0,0,0,2,79,6.487671233,4503,17126,0,5,10,-0.05,-0.05,0,0.001,78244,65491,51223,79,-0.022199547,-0.122007353,0,1
1254,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,-10000000000,0,0,0,0,7,79,6.501369863,4508,17045,-0.001,5,10,-0.055,-0.054,-0.001,0.001,78244,65491,51223,79,-0.014359556,-0.122007353,0,1
1265,3,1,0,0,24,26,0,0,0,0,6800000000,-39900000000,0,0,-13200000000,46300000000,0,0,0,0,6,55,7.117808219,4514,12857,0.002,5,10,-0.09,-0.1,0.01,0.01,78679,65714,58906,55,-0.086094584,-0.17046148,0,0
1272,30,3,0,2,12,4,0,0,0,0,62400000000,-32000000000,0,3000000000,-41600000000,8200000000,0,0,0,0,6,93,7.369863014,4514,12857,0.002,5,10,-0.075,-0.085,0.01,0.01,71831,66086,51223,93,-0.096419166,-0.070040234,0,0
1277,15,1,1,0,32,21,0,0,0,0,67600000000,-5000000000,5000000000,0,-74100000000,6500000000,0,0,0,0,0,93,7.293150685,4505,10517,-0.006,5,10,-0.055,-0.055,0,0,71831,66086,51223,93,-0.064696486,-0.096968051,0,0
1278,2,0,0,0,28,26,5,1,0,0,800000000,0,0,0,3700000000,5500000000,0,-10000000000,0,0,6,193,7.619178082,4514,12857,0.002,5,10,-0.06,-0.07,0.01,0.01,27490,21974,17598,193,-0.31101927,-0.371713996,0,0
1300,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,-18800000000,0,0,0,0,2,26,7.989041096,4503,17126,0,5,10,-0.005,-0.005,0,0.001,81759,65568,69759,26,-0.051364311,-0.116165296,0,1
1301,0,0,0,0,1,2,0,0,0,0,0,0,0,0,10000000000,-5600000000,0,0,0,0,7,26,8.002739726,4508,17045,-0.001,5,10,-0.01,-0.01,0,0,81759,65568,69759,26,-0.047591743,-0.116165296,0,0
1305,3,2,0,0,15,11,2,0,0,0,-34700000000,33400000000,0,0,12700000000,-15300000000,3900000000,0,0,0,6,235,8.369863014,4514,12857,0.002,5,10,-0.034,-0.044,0.01,0.006,80589,65440,67781,235,-0.080164918,-0.033650675,0,2
1310,9,0,0,0,35,21,4,0,0,0,15200000000,0,0,0,-22500000000,7300000000,0,0,0,0,0,235,8.293150685,4505,10517,-0.006,5,10,-0.015,-0.015,0,0,80589,65440,68278,235,-0.089110764,-0.090265211,0,0
1311,9,0,0,0,35,21,4,0,0,0,15200000000,0,0,0,-22500000000,7300000000,0,0,0,0,0,235,8.293150685,4505,10517,-0.006,5,10,-0.015,-0.015,0,0,80589,65440,68278,235,-0.089110764,-0.090265211,0,0
1312,0,0,0,0,29,29,0,3,0,0,0,0,0,0,-13200000000,-17900000000,0,31100000000,0,0,6,199,8.619178082,4514,12857,0.002,5,10,-0.024,-0.034,0.01,0.006,78167,65571,62802,199,-0.188959538,-0.213290669,0,0
1318,4,2,0,0,17,26,2,0,0,0,-26100000000,21800000000,0,0,-100000000,4400000000,0,0,0,0,6,35,8.865753425,4514,12857,0.002,5,10,-0.014,-0.024,0.01,0.006,80384,65525,69216,35,-0.091637427,-0.047595029,0,2
1325,0,0,0,0,40,34,2,2,0,0,0,0,0,0,-12000000000,-5900000000,0,17900000000,0,0,6,119,9.117808219,4514,12857,0.002,5,10,-0.004,-0.014,0.01,0.006,80636,65354,68491,119,-0.357850288,-0.38850096,0,0
1333,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,-51000000000,0,0,0,0,2,186,9.24109589,4503,17126,0,5,10,0.025,0.025,0,0,79089,65101,2195,186,-0.059326425,-0.133859649,0,1
1335,31,2,0,0,27,8,0,0,0,0,8300000000,-10000000000,0,0,-12700000000,14400000000,0,0,0,0,0,186,9.293150685,4505,10517,-0.006,5,10,0.019,0.02,-0.001,0,79089,65101,57902,186,-0.041034375,-0.05549375,0,0
1336,31,2,0,0,27,8,0,0,0,0,8300000000,-10000000000,0,0,-12700000000,14400000000,0,0,0,0,0,186,9.293150685,4505,10517,-0.006,5,10,0.019,0.02,-0.001,0,79089,65101,57902,186,-0.041034375,-0.05549375,0,0
1362,0,1,0,0,0,0,0,0,0,0,0,-200000000,0,0,0,0,0,0,0,0,4,249,5.22739726,4512,16888,0.014,5,10,-0.078,-0.079,0.001,-0.01,6991,6991,4299,249,-0.12,-0.16,0,1
1390,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-4000000000,0,0,0,0,2,214,5.98630137,4503,17126,0,5,10,-0.06,-0.06,0,0,7988,7988,3666,214,-0.11,0.01,0,1
1397,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-10000000000,0,0,0,0,2,87,5.98630137,4503,17126,0,5,10,-0.06,-0.06,0,0,7993,7993,2773,87,-0.109428571,-0.115,0,1
1413,6,1,0,0,0,0,0,0,0,0,-10300000000,10300000000,0,0,0,0,0,0,0,0,0,153,6.539726027,4505,10517,-0.006,5,10,-0.085,-0.085,0,0,9981,9981,3533,153,-0.039145299,0.01,0,2
1414,6,1,0,0,0,0,0,0,0,0,-10300000000,10300000000,0,0,0,0,0,0,0,0,0,153,6.539726027,4505,10517,-0.006,5,10,-0.085,-0.085,0,0,9981,9981,3533,153,-0.039145299,0.01,0,2
1483,10,0,0,0,0,4,0,0,0,0,-1000000000,0,0,0,0,1000000000,0,0,0,0,6,18,7.865753425,4514,12857,0.002,5,10,-0.045,-0.055,0.01,0.01,6993,6456,3192,18,-0.073596288,-0.047354988,0,2
1527,4,1,1,0,0,0,0,0,0,0,0,3000000000,-3000000000,0,0,0,0,0,0,0,0,150,8.293150685,4505,10517,-0.006,5,10,-0.011,-0.01,-0.001,0,14551,12933,7716,150,-0.019354839,0.01,0,1
1558,0,2,0,0,0,0,0,0,0,0,0,-10000000000,0,0,0,0,0,0,0,0,2,201,8.736986301,4503,17126,0,5,10,0.01,0.01,0,0,8462,7328,4857,201,-0.11,0.01,0,1
1581,7,1,0,0,2,0,0,0,0,0,-3700000000,1700000000,0,0,2000000000,0,0,0,0,0,6,263,9.369863014,4514,12857,0.002,5,10,0.005,-0.004,0.009,0.006,8666,7299,3517,263,-0.009221557,0.001616767,0,2
1585,8,1,1,0,0,0,0,0,0,0,0,3000000000,-3000000000,0,0,0,0,0,0,0,0,263,9.293150685,4505,10517,-0.006,5,10,0.019,0.02,-0.001,-0.004,8666,7299,3517,263,-0.012864583,0.000740741,0,1
1586,8,1,1,0,0,0,0,0,0,0,0,3000000000,-3000000000,0,0,0,0,0,0,0,0,263,9.293150685,4505,10517,-0.006,5,10,0.019,0.02,-0.001,-0.004,8666,7299,3517,263,-0.012864583,0.000740741,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,218,17.44657534,2006,4222,0.01,10,25,0.305,0.305,0,0.005,3998,3998,539,218,-0.102526882,-0.15,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,218,17.44657534,2002,6225,0.005,10,25,0.305,0.305,0,-0.005,3998,3998,539,218,-0.102526882,-0.15,1,1
2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2700000000,0,0,0,0,0,8,218,15.77534247,2009,4236,-0.005,10,25,0.33,0.325,0.005,-0.02,3998,3998,2268,218,-0.102072539,-0.15,1,1
3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,218,15.7890411,2009,4992,-0.017,10,25,0.315,0.32,-0.005,-0.005,3998,3998,2268,218,-0.102072539,0.01,1,1
4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,15.79452055,2017,5475,-0.007,10,25,0.325,0.33,-0.005,-0.005,3998,3998,2268,218,-0.102072539,0.01,1,1
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,33,17.48493151,2006,4222,0.01,10,25,0.31,0.305,0.005,0.005,3993,3993,1447,33,-0.090648536,-0.14,1,1
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,33,17.48493151,2009,4236,-0.005,10,25,0.33,0.325,0.005,-0.02,3993,3993,682,33,-0.067848297,-0.14,1,1
8,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,33,16.04109589,2009,4992,-0.017,10,25,0.315,0.32,-0.005,-0.005,3993,3993,682,33,-0.03283237,0.00132948,1,1
9,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,16.04657534,2017,5475,-0.007,10,25,0.325,0.33,-0.005,-0.005,3993,3993,682,33,-0.03283237,0.00132948,1,1
10,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,16.04657534,2017,5475,-0.007,10,25,0.325,0.33,-0.005,-0.005,3993,3993,682,33,-0.03283237,0.00132948,1,1
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,195,17.8109589,2006,4222,0.01,10,25,0.315,0.315,0,0.005,4007,4007,1321,195,-0.11,0.01,1,1
