,contract_count_10,contract_count_11,contract_count_14,contract_count_15,contract_count_20,contract_count_21,contract_count_24,contract_count_25,contract_count_30,contract_count_31,contract_face_10,contract_face_11,contract_face_14,contract_face_15,contract_face_20,contract_face_21,contract_face_24,contract_face_25,contract_face_30,contract_face_31,date,stock_snm_x,zanzon,bid,offer,rate,remaining_years_from,remaining_years_to,simple_yield_1days_from_ope,simple_yield_2days_from_ope,simple_yield_fluctuation_2to1,simple_yield_fluctuation_3to2,amount_sum,bid_price,balance,stock_snm_x.1,aggre_rate_buy,aggre_rate_sell,fluctuation_buy_rate,fluctuation_sell_rate
168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,149,15.43287671,2006,4222,0.01,10,25,0.205,0.205,0,0.005,2999,2999,603,149,-0.115,-0.12,1,1
169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,149,15.43287671,2002,6225,0.005,10,25,0.205,0.205,0,0,2999,2999,603,149,-0.115,-0.12,1,1
170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,149,15.43287671,2009,4236,-0.005,10,25,0.225,0.22,0.005,-0.02,2999,2999,652,149,-0.115,-0.12,1,1
171,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,149,13.95342466,2009,4992,-0.017,10,25,0.21,0.21,0,-0.005,2999,2999,652,149,-0.115,-0.0285,1,1
172,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,13.95890411,2017,5475,-0.007,10,25,0.215,0.22,-0.005,-0.005,2999,2999,652,149,-0.115,-0.0285,1,1
173,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,13.95890411,2017,5475,-0.007,10,25,0.215,0.22,-0.005,-0.005,2999,2999,652,149,-0.115,-0.0285,1,1
174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,168,16.43835616,2006,4222,0.01,10,25,0.255,0.255,0,0.005,2996,2996,2268,168,0.005,-0.14,1,1
175,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,-20000000000,0,0,0,0,3,168,14.91780822,2002,6225,0.005,10,25,0.255,0.255,0,0,2996,2996,2268,168,0.005,-0.14,1,1
176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,168,16.43835616,2009,4236,-0.005,10,25,0.27,0.265,0.005,-0.02,2996,2996,611,168,0.005,-0.14,1,1
177,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,168,14.95616438,2009,4992,-0.017,10,25,0.255,0.26,-0.005,-0.005,2996,2996,611,168,0.005,0.007,1,1
178,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,14.96164384,2017,5475,-0.007,10,25,0.265,0.27,-0.005,-0.005,2996,2996,611,168,0.005,0.007,1,1
179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,181,16.94246575,2006,4222,0.01,10,25,0.28,0.28,0,0.005,2997,2997,682,181,-0.051176471,-0.085,1,1
180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,181,16.94246575,2002,6225,0.005,10,25,0.28,0.28,0,-0.005,2997,2997,682,181,-0.058076923,-0.085,1,1
181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,181,16.94246575,2009,4236,-0.005,10,25,0.305,0.3,0.005,-0.02,2997,2997,603,181,-0.058076923,-0.085,1,1
182,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,181,15.46575342,2009,4992,-0.017,10,25,0.29,0.295,-0.005,-0.005,2997,2997,603,181,-0.058076923,-0.063076923,1,1
183,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,15.47123288,2017,5475,-0.007,10,25,0.3,0.305,-0.005,-0.005,2997,2997,603,181,-0.058076923,-0.063076923,1,1
184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,84,17.2,2006,4222,0.01,10,25,0.29,0.29,0,0.005,2996,2996,1231,84,-0.11,-0.1,1,1
185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,84,17.2,2002,6225,0.005,10,25,0.29,0.29,0,-0.005,2996,2996,1231,84,-0.11,-0.1,1,1
186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,84,17.2,2009,4236,-0.005,10,25,0.31,0.305,0.005,-0.02,2996,2996,1146,84,-0.11,-0.115,1,1
187,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,84,15.54246575,2009,4992,-0.017,10,25,0.295,0.3,-0.005,-0.005,2996,2996,1146,84,-0.09156682,0.008202765,1,1
188,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,15.54794521,2017,5475,-0.007,10,25,0.305,0.31,-0.005,-0.005,2996,2996,1146,84,-0.09156682,0.008202765,1,1
189,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,15.54794521,2017,5475,-0.007,10,25,0.305,0.31,-0.005,-0.005,2996,2996,1146,84,-0.09156682,0.008202765,1,1
190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,208,12.40273973,2006,4222,0.01,10,25,0.075,0.075,0,0,17026,14630,2981,208,-0.011724138,-0.12,1,1
191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,208,12.40273973,2002,6225,0.005,10,25,0.078,0.075,0.003,0,17026,14630,2981,208,-0.011724138,-0.12,1,1
192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,208,12.40273973,2009,4236,-0.005,10,25,0.085,0.079,0.006,-0.016,17026,14630,2190,208,-0.057222222,-0.12,1,1
193,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,208,10.78630137,2009,4992,-0.017,10,25,0.07,0.07,0,-0.005,17026,14630,2190,208,-0.057222222,0.009398148,1,1
194,9,0,0,0,1,0,0,0,0,0,-4900000000,0,0,0,4900000000,0,0,0,0,0,0,208,10.79178082,2017,5475,-0.007,10,25,0.075,0.08,-0.005,-0.005,17026,14630,2182,208,-0.057222222,0.009398148,1,2
195,9,0,0,0,1,0,0,0,0,0,-4900000000,0,0,0,4900000000,0,0,0,0,0,0,208,10.79178082,2017,5475,-0.007,10,25,0.075,0.08,-0.005,-0.005,17026,14630,2182,208,-0.057222222,0.009398148,1,2
196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,46,12.2739726,2006,4222,0.01,10,25,0.07,0.07,0,0,7993,7307,1111,46,-0.020822511,-0.125,1,1
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,46,12.2739726,2002,6225,0.005,10,25,0.075,0.075,0,0,7993,7307,1111,46,-0.019163347,-0.125,1,1
198,0,0,0,0,1,0,0,0,0,0,0,0,0,0,200000000,0,0,0,0,0,8,46,10.77260274,2009,4236,-0.005,10,25,0.085,0.079,0.006,-0.016,7993,7307,1954,46,-0.019163347,-0.125,1,0
199,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,46,10.78630137,2009,4992,-0.017,10,25,0.07,0.07,0,-0.005,7993,7307,1954,46,-0.019163347,-0.099641434,1,1
200,2,0,0,0,1,0,0,0,0,0,200000000,0,0,0,-200000000,0,0,0,0,0,0,46,10.79178082,2017,5475,-0.007,10,25,0.075,0.08,-0.005,-0.005,7993,7307,1954,46,-0.019163347,-0.099641434,1,0
201,2,0,0,0,1,0,0,0,0,0,200000000,0,0,0,-200000000,0,0,0,0,0,0,46,10.79178082,2017,5475,-0.007,10,25,0.075,0.08,-0.005,-0.005,7993,7307,1954,46,-0.019163347,-0.099641434,1,0
202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,224,12.5260274,2006,4222,0.01,10,25,0.08,0.081,-0.001,0.001,8600,7299,3923,224,-0.075813954,0.01,1,1
204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,224,12.5260274,2009,4236,-0.005,10,25,0.095,0.089,0.006,-0.016,8600,7299,600,224,-0.021524664,0.01,1,1
205,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,224,11.03835616,2009,4992,-0.017,10,25,0.08,0.08,0,-0.005,8600,7299,600,224,-0.021524664,0.01,1,1
207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,233,12.49589041,2006,4222,0.01,10,25,0.085,0.085,0,0,8697,7288,2276,233,-0.010990099,-0.125,1,1
208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,233,12.49589041,2002,6225,0.005,10,25,0.088,0.085,0.003,0,8697,7288,2276,233,-0.010638978,-0.125,1,1
210,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,233,11.03835616,2009,4992,-0.017,10,25,0.08,0.08,0,-0.005,8697,7288,2981,233,-0.010638978,-0.123929713,1,1
211,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,11.04383562,2017,5475,-0.007,10,25,0.085,0.09,-0.005,-0.005,8697,7288,2981,233,-0.010619195,-0.119783282,1,1
212,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,11.04383562,2017,5475,-0.007,10,25,0.085,0.09,-0.005,-0.005,8697,7288,2981,233,-0.010619195,-0.119783282,1,1
213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,226,12.48219178,2006,4222,0.01,10,25,0.085,0.085,0,0,8739,7256,5272,226,-0.11,-0.12,1,1
214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,226,12.48219178,2002,6225,0.005,10,25,0.088,0.085,0.003,0,8739,7256,5272,226,0.002745098,-0.12,1,1
215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,226,12.48219178,2009,4236,-0.005,10,25,0.095,0.089,0.006,-0.016,8739,7256,1111,226,-0.00747191,-0.12,1,1
216,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,226,11.03835616,2009,4992,-0.017,10,25,0.08,0.08,0,-0.005,8739,7256,1111,226,-0.00747191,0.01,1,1
217,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,11.04383562,2017,5475,-0.007,10,25,0.085,0.09,-0.005,-0.005,8739,7256,1108,226,-0.00747191,0.01,1,1
218,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,11.04383562,2017,5475,-0.007,10,25,0.085,0.09,-0.005,-0.005,8739,7256,1108,226,-0.00747191,0.01,1,1
219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,227,12.90684932,2006,4222,0.01,10,25,0.095,0.095,0,0,18327,15657,8432,227,-0.101363636,-0.12,1,1
220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,227,12.90684932,2002,6225,0.005,10,25,0.098,0.095,0.003,0,18327,15657,8432,227,-0.101363636,-0.12,1,1
221,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,200000000,0,0,0,8,227,11.27671233,2009,4236,-0.005,10,25,0.105,0.099,0.006,-0.016,18327,15657,3923,227,-0.085689655,-0.12,1,1
222,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,227,11.29041096,2009,4992,-0.017,10,25,0.09,0.09,0,-0.005,18327,15657,3923,227,-0.085689655,-0.001767241,1,1
223,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,11.29589041,2017,5475,-0.007,10,25,0.095,0.1,-0.005,-0.005,18327,15657,3923,227,-0.101363636,-0.010681818,1,1
224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,117,12.6,2006,4222,0.01,10,25,0.095,0.095,0,0,8731,7363,1756,117,0,-0.1,1,1
225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,117,12.6,2002,6225,0.005,10,25,0.098,0.095,0.003,0,8731,7363,1756,117,0,-0.1,1,1
226,0,0,0,0,1,0,0,0,0,0,0,0,0,0,300000000,0,0,0,0,0,8,117,11.27671233,2009,4236,-0.005,10,25,0.105,0.099,0.006,-0.016,8731,7363,2275,117,0,-0.1,1,1
230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,154,13.02191781,2006,4222,0.01,10,25,0.1,0.1,0,0,9149,8257,3445,154,-0.068333333,-0.12,1,1
231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,154,13.02191781,2002,6225,0.005,10,25,0.105,0.105,0,0,9149,8257,3445,154,-0.068333333,-0.12,1,1
232,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2000000000,0,0,0,8,154,11.5260274,2009,4236,-0.005,10,25,0.115,0.109,0.006,-0.016,9149,8257,5268,154,-0.0207393,-0.12,1,1
233,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,154,11.53972603,2009,4992,-0.017,10,25,0.1,0.1,0,-0.005,9149,8257,5268,154,-0.0207393,0.01,1,1
234,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,11.54520548,2017,5475,-0.007,10,25,0.105,0.11,-0.005,-0.005,9149,8257,5268,154,-0.0207393,0.01,1,1
235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,246,13.15068493,2006,4222,0.01,10,25,0.105,0.105,0,0,18607,16323,3442,246,-0.100476191,-0.128695652,1,1
236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,246,13.15068493,2002,6225,0.005,10,25,0.108,0.105,0.003,0,18607,16323,3442,246,-0.100476191,-0.128695652,1,1
238,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,246,11.53972603,2009,4992,-0.017,10,25,0.1,0.1,0,-0.005,18607,16323,8352,246,-0.094615385,-0.003,1,1
239,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,11.54520548,2017,5475,-0.007,10,25,0.105,0.11,-0.005,-0.005,18607,16323,8352,246,-0.094615385,-0.003,1,2
240,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,11.54520548,2017,5475,-0.007,10,25,0.105,0.11,-0.005,-0.005,18607,16323,8352,246,-0.094615385,-0.003,1,2
241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,123,13.31232877,2006,4222,0.01,10,25,0.11,0.11,0,-0.001,9017,8302,5337,123,-0.010992556,-0.125061881,1,1
242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,123,13.31232877,2002,6225,0.005,10,25,0.115,0.115,0,0,9017,8302,5337,123,-0.010992556,-0.125061881,1,1
243,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100000000,0,0,0,0,0,8,123,11.77260274,2009,4236,-0.005,10,25,0.125,0.119,0.006,-0.016,9017,8302,1756,123,-0.018609272,-0.125061881,1,0
244,3,0,0,0,2,0,0,0,0,0,1500000000,0,0,0,-1500000000,0,0,0,0,0,9,123,11.78630137,2009,4992,-0.017,10,25,0.11,0.11,0,-0.005,9017,8302,1756,123,-0.018609272,-0.11294702,1,0
245,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,11.79178082,2017,5475,-0.007,10,25,0.115,0.12,-0.005,-0.005,9017,8302,1756,123,-0.018609272,-0.109194261,1,1
246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,102,13.39726027,2006,4222,0.01,10,25,0.11,0.11,0,-0.001,18635,16478,16460,102,-0.090213904,-0.13,1,1
247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,102,13.39726027,2002,6225,0.005,10,25,0.115,0.115,0,0,18635,16478,16460,102,-0.090213904,-0.13,1,1
248,0,0,0,0,1,0,0,0,0,0,0,0,0,0,800000000,0,0,0,0,0,8,102,11.77260274,2009,4236,-0.005,10,25,0.125,0.119,0.006,-0.016,18635,16478,3445,102,-0.090033698,-0.072192308,1,2
249,30,0,0,0,2,0,0,0,0,0,500000000,0,0,0,-500000000,0,0,0,0,0,9,102,11.78630137,2009,4992,-0.017,10,25,0.11,0.11,0,-0.005,18635,16478,3445,102,-0.091297388,-0.02695872,1,2
250,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,11.79178082,2017,5475,-0.007,10,25,0.115,0.12,-0.005,-0.004,18635,16478,3384,102,-0.091297388,-0.03062342,1,1
251,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,11.79178082,2017,5475,-0.007,10,25,0.115,0.12,-0.005,-0.004,18635,16478,3384,102,-0.091297388,-0.03062342,1,1
252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,141,13.5260274,2006,4222,0.01,10,25,0.12,0.12,0,0,9876,8278,6738,141,-0.11,-0.09,1,1
253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,141,13.5260274,2002,6225,0.005,10,25,0.125,0.125,0,0,9876,8278,6738,141,-0.055454546,-0.09,1,1
255,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,141,12.03835616,2009,4992,-0.017,10,25,0.12,0.12,0,-0.005,9876,8278,3442,141,-0.055454546,0.01,1,1
258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,76,13.64931507,2006,4222,0.01,10,25,0.12,0.12,0,0,22654,20266,2109,76,-0.109090909,0.01,1,1
259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,76,13.64931507,2002,6225,0.005,10,25,0.125,0.125,0,0,22654,20266,2109,76,-0.035483871,0.01,1,1
262,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,12.04383562,2017,5475,-0.007,10,25,0.125,0.13,-0.005,-0.005,22654,20266,5323,76,-0.040277778,0.01,1,1
263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,95,13.90136986,2006,4222,0.01,10,25,0.135,0.134,0.001,0.004,34573,30244,2390,95,-0.078571429,-0.120366973,1,1
264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,95,13.90136986,2002,6225,0.005,10,25,0.135,0.135,0,0,34573,30244,2390,95,-0.076086957,-0.120366973,1,1
267,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,12.29589041,2017,5475,-0.007,10,25,0.135,0.14,-0.005,-0.005,34573,30244,15584,95,-0.093183857,-0.079636771,1,0
268,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,12.29589041,2017,5475,-0.007,10,25,0.135,0.14,-0.005,-0.005,34573,30244,15584,95,-0.093183857,-0.079636771,1,0
269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,28,14.15616438,2006,4222,0.01,10,25,0.14,0.14,0,0,22378,20128,3568,28,-0.081653543,0.01,1,1
270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28,14.15616438,2002,6225,0.005,10,25,0.145,0.145,0,0,22378,20128,3568,28,-0.067709251,0.01,1,1
271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,28,14.15616438,2009,4236,-0.005,10,25,0.155,0.15,0.005,-0.02,22378,20128,6738,28,-0.08647868,0.01,1,1
273,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,12.54520548,2017,5475,-0.007,10,25,0.15,0.155,-0.005,-0.005,22378,20128,6738,28,-0.08647868,0.01,1,1
274,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,12.54520548,2017,5475,-0.007,10,25,0.15,0.155,-0.005,-0.005,22378,20128,6738,28,-0.08647868,0.01,1,1
275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,133,14.02739726,2006,4222,0.01,10,25,0.14,0.14,0,0,10990,10049,1916,133,-0.11,-0.12,1,1
279,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,12.54520548,2017,5475,-0.007,10,25,0.15,0.155,-0.005,-0.005,10990,10049,2109,133,-0.056684211,-0.043368421,1,1
280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,14.1890411,2006,4222,0.01,10,25,0.155,0.155,0,0.001,11643,10070,2146,2,-0.11,-0.13,1,1
281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,14.1890411,2002,6225,0.005,10,25,0.155,0.155,0,0,11643,10070,2146,2,-0.11,-0.13,1,1
284,26,0,0,0,2,0,1,0,0,0,-200000000,0,0,0,0,0,200000000,0,0,0,0,2,12.79178082,2017,5475,-0.007,10,25,0.165,0.17,-0.005,-0.005,11643,10070,2390,2,-0.092923497,-0.081803279,1,0
285,26,0,0,0,2,0,1,0,0,0,-200000000,0,0,0,0,0,200000000,0,0,0,0,2,12.79178082,2017,5475,-0.007,10,25,0.165,0.17,-0.005,-0.005,11643,10070,2390,2,-0.092923497,-0.081803279,1,0
286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,138,14.39726027,2006,4222,0.01,10,25,0.155,0.155,0,0.001,25152,20080,3511,138,-0.029230769,-0.125117925,1,1
287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,138,14.39726027,2002,6225,0.005,10,25,0.155,0.155,0,0,25152,20080,3511,138,-0.029230769,-0.125117925,1,1
292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,77,14.65479452,2006,4222,0.01,10,25,0.165,0.165,0,0.001,12562,10061,8727,77,-0.01147541,-0.125398773,1,1
293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,77,14.65479452,2002,6225,0.005,10,25,0.165,0.165,0,0,12562,10061,8727,77,-0.012698413,-0.125398773,1,1
296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,14.65479452,2017,5475,-0.007,10,25,0.175,0.18,-0.005,-0.005,12562,10061,1911,77,-0.012269939,-0.125398773,1,1
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,14.58082192,2006,4222,0.01,10,25,0.17,0.169,0.001,0.004,12586,10022,4038,20,-0.01,-0.125127273,1,1
298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,14.58082192,2002,6225,0.005,10,25,0.17,0.17,0,0.001,12586,10022,4038,20,-0.016289308,-0.125127273,1,1
303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,147,14.65479452,2006,4222,0.01,10,25,0.17,0.17,0,0.001,11899,10123,3037,147,-0.057101449,-0.1,1,1
304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,147,14.65479452,2002,6225,0.005,10,25,0.17,0.17,0,0,11899,10123,3037,147,-0.057101449,-0.1,1,1
305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,147,14.65479452,2009,4236,-0.005,10,25,0.185,0.18,0.005,-0.021,11899,10123,3511,147,-0.057101449,-0.1,1,1
306,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,147,13.03835616,2009,4992,-0.017,10,25,0.175,0.175,0,-0.005,11899,10123,3511,147,-0.057101449,-0.009130435,1,1
307,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,13.04383562,2017,5475,-0.007,10,25,0.18,0.185,-0.005,-0.005,11899,10123,3511,147,-0.057101449,-0.009130435,1,1
308,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,13.04383562,2017,5475,-0.007,10,25,0.18,0.185,-0.005,-0.005,11899,10123,3511,147,-0.057101449,-0.009130435,1,1
309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,279,14.90684932,2006,4222,0.01,10,25,0.175,0.175,0,0,23619,20100,1577,279,-0.11064,-0.095,1,1
311,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,8,279,13.27671233,2009,4236,-0.005,10,25,0.195,0.19,0.005,-0.021,23619,20100,8727,279,-0.060858469,-0.095,1,2
315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,57,14.83287671,2006,4222,0.01,10,25,0.175,0.175,0,0,12269,9998,1221,57,-0.098562092,-0.12,1,1
316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,57,14.83287671,2002,6225,0.005,10,25,0.18,0.18,0,0,12269,9998,1221,57,-0.094226191,-0.12,1,1
317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,57,14.83287671,2009,4236,-0.005,10,25,0.195,0.19,0.005,-0.021,12269,9998,4038,57,-0.094226191,-0.119615385,1,1
319,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,13.29589041,2017,5475,-0.007,10,25,0.19,0.195,-0.005,-0.005,12269,9998,4038,57,-0.093707865,-0.065730337,1,1
320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,15.15616438,2006,4222,0.01,10,25,0.185,0.185,0,0,24569,20034,1144,11,-0.111973684,-0.10125,1,1
321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,15.15616438,2002,6225,0.005,10,25,0.19,0.19,0,0,24569,20034,1144,11,-0.086417526,-0.10125,1,1
323,12,0,0,0,1,0,0,0,0,0,-200000000,0,0,0,200000000,0,0,0,0,0,9,11,13.53972603,2009,4992,-0.017,10,25,0.195,0.195,0,-0.005,24569,20034,3037,11,-0.085917927,-0.039568035,1,2
326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,241,15.15068493,2006,4222,0.01,10,25,0.185,0.185,0,0,12433,10047,1681,241,-0.112463054,-0.12,1,1
327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,241,15.15068493,2002,6225,0.005,10,25,0.19,0.19,0,0,12433,10047,1681,241,-0.106860987,-0.12,1,1
328,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1700000000,0,100000000,0,0,0,8,241,13.5260274,2009,4236,-0.005,10,25,0.205,0.2,0.005,-0.021,12433,10047,1577,241,-0.106860987,-0.12,1,1
330,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,13.54520548,2017,5475,-0.007,10,25,0.2,0.205,-0.005,-0.005,12433,10047,1577,241,-0.106860987,-0.058654709,1,2
331,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,13.54520548,2017,5475,-0.007,10,25,0.2,0.205,-0.005,-0.005,12433,10047,1577,241,-0.106860987,-0.058654709,1,2
