,Unnamed: 0,Unnamed: 0.1,contract_count_10,contract_count_11,contract_count_14,contract_count_15,contract_count_20,contract_count_21,contract_count_24,contract_count_25,contract_count_30,contract_count_31,contract_face_10,contract_face_11,contract_face_14,contract_face_15,contract_face_20,contract_face_21,contract_face_24,contract_face_25,contract_face_30,contract_face_31,date,stock_snm_x,zanzon,bid,offer,rate,remaining_years_from,remaining_years_to,simple_yield_1days_from_ope,simple_yield_2days_from_ope,simple_yield_fluctuation_2to1,simple_yield_fluctuation_3to2,amount_sum,bid_price,balance,stock_snm_x.1,aggre_rate_buy,aggre_rate_sell,fluctuation_buy_rate,fluctuation_sell_rate
416,2007,2019,65,3,0,0,4,15,0,0,0,0,-41500000000,21500000000,0,0,20500000000,-500000000,0,0,0,0,13,147,8.0794520548,4506,10921,0.006,5,10,-0.015,-0.02,0.005,-0.005,81759,65568,57359,147,-0.0114646891,0.0012512828,0,1
303,1509,1521,0,0,0,0,12,14,0,0,0,0,0,0,0,0,1650000000,-1650000000,0,0,0,0,1,156,2.3315068493,2812,10810,-0.001,1,3,-0.145,-0.15,0.005,0.005,29965,24553,17202,156,-0.16,-0.16422297300000002,0,0
26,232,236,2,0,0,0,2,0,2,0,0,0,-1500000000,0,0,0,1500000000,0,0,0,0,0,4,96,24.356164383600007,2011,6069,0.001,10,25,0.645,0.65,-0.005,0.01,30111,25619,3874,96,-0.07,0.0098123827,0,0
184,858,864,27,5,0,0,3,5,6,0,0,0,9400000000,-1600000000,0,0,500000000,-7000000000,-1300000000,0,0,0,15,207,19.569863013699997,2019,7279,0.003,10,25,0.555,0.546,0.009000000000000001,-0.019,37182,29768,5554,207,-0.0751452599,-0.07500795099999999,0,1
12,162,166,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,183,20.295890411,2009,4992,-0.017,10,25,0.499,0.505,-0.006,-0.005,12617,10946,1433,183,-0.06,0.01,0,2
163,809,815,2,5,0,0,5,0,1,0,0,0,4400000000,-4000000000,0,0,900000000,0,-1300000000,0,0,0,15,256,18.3178082192,2019,7279,0.003,10,25,0.46,0.456,0.004,-0.019,37666,32859,19028,256,-0.0736966825,0.0089301625,0,0
11,156,160,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,201,19.8164383562,2019,7279,0.003,10,25,0.495,0.49,0.005,-0.02,13052,10975,1416,201,-0.08,0.009564664,0,1
247,1166,1176,2,0,0,0,24,25,14,0,0,0,-7500000000,0,0,0,13600000000,-6100000000,0,0,0,0,15,187,38.8301369863,1003,3253,0.002,25,-1,1.025,1.015,0.01,-0.02,30872,27971,11610,187,-0.1025,-0.0657325383,0,1
414,1997,2009,2,1,0,0,10,22,3,0,0,0,1800000000,-2000000000,0,0,-7600000000,4500000000,3300000000,0,0,0,2,0,7.5753424658,4507,11463,-0.009000000000000001,5,10,-0.035,-0.04,0.005,-0.005,51505,43805,38140,0,-0.0621227773,0.0096869541,0,0
39,348,353,2,1,0,0,0,0,0,0,0,0,2400000000,-2400000000,0,0,0,0,0,0,0,0,15,18,11.3150684932,2019,7279,0.003,10,25,0.099,0.094,0.005,-0.011,8731,7363,2269,18,-0.085,0.0094883721,0,1
115,711,717,2,1,0,0,0,6,3,0,0,0,-16800000000,13300000000,0,0,0,0,3500000000,0,0,0,3,206,15.7945205479,2017,5475,-0.006999999999999999,10,25,0.32,0.325,-0.005,-0.005,13305,10977,2513,206,-0.065,0.01,0,0
72,616,622,5,1,0,0,0,0,0,0,0,0,13900000000,-13900000000,0,0,0,0,0,0,0,0,2,168,14.8273972603,2006,4580,-0.01,10,25,0.275,0.27,0.005,-0.005,11990,10906,2722,168,-0.055,0.0099713721,0,1
208,1008,1017,2,0,0,0,2,1,0,0,0,0,500000000,0,0,0,500000000,-1000000000,0,0,0,0,15,15,27.821917808200002,1003,3253,0.002,25,-1,0.7140000000000001,0.705,0.009000000000000001,-0.02,26328,21011,13195,15,-0.08,0.0094706994,0,1
7,110,114,2,0,0,0,2,1,0,0,0,0,-1000000000,0,0,0,1500000000,-500000000,0,0,0,0,15,235,18.5671232877,2019,7279,0.003,10,25,0.445,0.44,0.005,-0.02,5182,4995,862,235,0.0,0.01,0,2
391,1921,1933,52,1,0,0,0,2,0,0,0,0,4100000000,-4100000000,0,0,0,0,0,0,0,0,7,244,6.347945205499999,4510,12335,0.002,5,10,-0.09,-0.09,0.0,-0.005,54684,43562,36257,244,-0.0002051019,0.0054161934,0,1
115,711,717,2,1,0,0,0,6,3,0,0,0,-16800000000,13300000000,0,0,0,0,3500000000,0,0,0,3,206,15.7945205479,2017,5475,-0.006999999999999999,10,25,0.32,0.325,-0.005,-0.005,13305,10977,2513,206,-0.065,0.01,0,0
392,1922,1934,33,1,0,0,5,4,0,0,0,0,-5000000000,10000000000,0,0,5000000000,-10000000000,0,0,0,0,9,244,6.3616438356,4503,9721,-0.001,5,10,-0.095,-0.105,0.01,0.005,54684,43562,36257,244,-0.08,-0.012388482900000001,0,1
263,1311,1323,1,0,0,0,6,2,0,2,0,0,-23400000000,0,0,0,38000000000,-14600000000,0,0,0,0,7,245,1.5808219178,2804,11013,0.006999999999999999,1,3,-0.18,-0.185,0.005,0.004,26067,20809,10104,245,-0.5,-0.5113888889,0,1
