,Unnamed: 0,contract_count_10,contract_count_11,contract_count_14,contract_count_15,contract_count_20,contract_count_21,contract_count_24,contract_count_25,contract_count_30,contract_count_31,contract_face_10,contract_face_11,contract_face_14,contract_face_15,contract_face_20,contract_face_21,contract_face_24,contract_face_25,contract_face_30,contract_face_31,date,stock_snm_x,zanzon,bid,offer,rate,remaining_years_from,remaining_years_to,simple_yield_1days_from_ope,simple_yield_2days_from_ope,simple_yield_fluctuation_2to1,simple_yield_fluctuation_3to2,amount_sum,bid_price,balance,stock_snm_x.1,aggre_rate_buy,aggre_rate_sell,fluctuation_buy_rate,fluctuation_sell_rate
842,865,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,8,270,2.0,2806,8089,-0.002,1,3,-0.12,-0.12,0.0,-0.005,26435,20944,12452,270,-0.09881656800000001,-0.105699374,0,0
843,866,2,0,0,0,7,7,0,0,0,0,9100000000.0,0.0,0,0,5900000000.0,-15000000000.0,0,0.0,0,0,2,270,1.687671233,2801,4911,-0.008,1,3,-0.125,-0.15,0.025,0.005,26435,20944,12452,270,-0.09,-0.090928571,2,1
844,867,0,0,0,0,24,21,0,0,0,0,0.0,0.0,0,0,-22200000000.0,22200000000.0,0,0.0,0,0,0,39,1.846575343,2807,8563,0.005,1,3,-0.209,-0.21,0.001,0.005,23738,20875,9099,39,-0.159652928,-0.159859002,1,1
845,868,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,6,39,2.0,2802,7575,-0.009000000000000001,1,3,-0.11,-0.11,0.0,-0.001,23738,20875,2424,39,-0.091053792,-0.14,0,0
846,869,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,9,39,2.0,2805,9329,0.001,1,3,-0.11,-0.12,0.01,0.005,23738,20875,2424,39,-0.091053792,-0.14,0,0
847,870,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,4,39,2.0,2801,10792,0.006999999999999999,1,3,-0.125,-0.125,0.0,-0.001,23738,20875,2424,39,-0.091053792,-0.14,0,0
848,871,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,8,39,2.0,2806,8089,-0.002,1,3,-0.12,-0.12,0.0,-0.005,23738,20875,9099,39,-0.091053792,-0.14,0,0
849,872,2,2,0,0,3,4,0,0,0,0,-159400000000.0,160000000000.0,0,0,-1200000000.0,600000000.0,0,0.0,0,0,2,39,1.764383562,2801,4911,-0.008,1,3,-0.125,-0.15,0.025,0.005,23738,20875,9099,39,-0.070239521,-0.038907186,2,2
850,873,2,6,1,0,8,8,3,0,0,0,74400000000.0,-52000000000.0,-23000000000,0,-5100000000.0,11700000000.0,-6000000000,0.0,0,0,0,240,1.931506849,2807,8563,0.005,1,3,-0.205,-0.21,0.005,0.005,22771,19882,1384,240,-0.097096774,-0.039524336,1,1
851,874,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,6,240,1.9945205480000001,2802,7575,-0.009000000000000001,1,3,-0.105,-0.105,0.0,-0.001,22771,19882,7898,240,-0.091729323,-0.09771929800000001,0,0
852,875,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,9,240,1.9945205480000001,2805,9329,0.001,1,3,-0.105,-0.115,0.01,0.005,22771,19882,7898,240,-0.091729323,-0.09771929800000001,0,0
853,876,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,4,240,1.9945205480000001,2801,10792,0.006999999999999999,1,3,-0.12,-0.12,0.0,0.0,22771,19882,7898,240,-0.091729323,-0.09771929800000001,0,0
854,877,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,8,240,1.9945205480000001,2806,8089,-0.002,1,3,-0.115,-0.115,0.0,-0.005,22771,19882,2411,240,-0.091729323,-0.09771929800000001,0,0
